adduser,3.112ubuntu1
libkadm5clnt-mit7,1.8.1+dfsg-2ubuntu0.11
libkadm5srv-mit7,1.8.1+dfsg-2ubuntu0.11
libkdb5-4,1.8.1+dfsg-2ubuntu0.11
libkeyutils1,1.2-12
libklibc,1.5.17-4ubuntu1
libkrb5-3,1.8.1+dfsg-2ubuntu0.11
libkrb5-dev,1.8.1+dfsg-2ubuntu0.11
libkrb5support0,1.8.1+dfsg-2ubuntu0.11
libldap-2.4-2,2.4.21-0ubuntu5.7
libldap2-dev,2.4.21-0ubuntu5.7
liblocale-gettext-perl,1.05-6
liblockfile1,1.08-3ubuntu1
liblwres60,1:9.7.0.dfsg.P1-1ubuntu0.11
liblzma1,4.999.9beta+20091116-1
libmagic1,5.03-5ubuntu1.1
libmpfr1ldbl,2.4.2-3ubuntu1
libncurses5,5.7+20090803-2ubuntu3
libncurses5-dev,5.7+20090803-2ubuntu3
libncursesw5,5.7+20090803-2ubuntu3
libnewt0.52,0.52.10-5ubuntu1
libnfsidmap2,0.23-2
libnih-dbus1,1.0.1-1
libnih1,1.0.1-1
libnl1,1.1-5build1
libpam-modules,1.1.1-2ubuntu5.6
libpam-runtime,1.1.1-2ubuntu5.6
libpam0g,1.1.1-2ubuntu5.6
libparse-debianchangelog-perl,1.1.1-2ubuntu2
libpcap0.8,1.0.0-6
libpcre3,7.8-3build1
libplymouth2,0.8.2-2ubuntu2.2
libpng12-0,1.2.42-1ubuntu2.5
libpopt0,1.15-1
libpython2.6,2.6.5-1ubuntu6.3
libreadline6,6.1-1
libreadline6-dev,6.1-1
librpc-xml-perl,0.72-1
librpcsecgss3,0.19-2
libsasl2-2,2.1.23.dfsg1-5ubuntu1
libsasl2-modules,2.1.23.dfsg1-5ubuntu1
libselinux1,2.0.89-4
libsepol1,2.0.40-2
libsgutils2-2,1.28-2
libsigc++-2.0-0c2a,2.2.4.2-1
libslang2,2.2.2-2ubuntu1
libsqlite3-0,3.6.22-1
libss2,1.41.11-1ubuntu2.1
libssl-dev,0.9.8k-7ubuntu8.15
libssl0.9.8,0.9.8k-7ubuntu8.15
libstdc++6,4.4.3-4ubuntu5.1
libstdc++6-4.4-dev,4.4.3-4ubuntu5.1
libsub-name-perl,0.04-1build1
libtasn1-3,2.4-1ubuntu0.1
libterm-readkey-perl,2.30-4build1
libtext-charwidth-perl,0.04-6
libtext-iconv-perl,1.7-2
libtext-wrapi18n-perl,0.06-7
libtimedate-perl,1.1900-1
libudev0,151-12.3
liburi-perl,1.52-1
libusb-0.1-4,2:0.1.12-14ubuntu0.2
libuuid1,2.17.2-0ubuntu1.10.04.2
libwrap0,7.6.q-18
libwww-perl,5.834-1ubuntu0.1
libxapian15,1.0.18-1
libxml-libxml-perl,1.70.ds-1
libxml-namespacesupport-perl,1.09-3
libxml-parser-perl,2.36-1.1build3
libxml-sax-perl,0.96+dfsg-2
libxml2,2.7.6.dfsg-1ubuntu1.10
libxml2-dev,2.7.6.dfsg-1ubuntu1.10
libxslt1-dev,1.1.26-1ubuntu1.2
libxslt1.1,1.1.26-1ubuntu1.2
libyaml-0-2,0.1.3-1
libyaml-dev,0.1.3-1
linux-headers-3.0.0-32,3.0.0-32.51~lucid1
linux-headers-3.0.0-32-virtual,3.0.0-32.51~lucid1
linux-image-3.0.0-32-virtual,3.0.0-32.51~lucid1
linux-libc-dev,2.6.32-57.119
locales,2.11+git20100304-3
lockfile-progs,0.1.13ubuntu1
login,1:4.1.4.2-1ubuntu2.2
logrotate,3.7.8-4ubuntu2.2
lsb-base,4.0-0ubuntu8.1
lsb-release,4.0-0ubuntu8.1
lsof,4.81.dfsg.1-1build1
lzma,4.43-14ubuntu2
m4,1.4.13-3
make,3.81-7ubuntu1
makedev,2.3.1-89ubuntu1
